epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.084,1.30572,3.48227,1.32718,0.02005,0.25,0.24353,0.21656,1.34173,3.78743,1.41496,0.0001625,0.0001625,0.0001625
2,274.907,1.15295,2.15142,1.14906,0.99827,0.25,0.25262,0.21816,1.33401,3.22965,1.36292,0.000330818,0.000330818,0.000330818
3,396.296,1.11988,1.64649,1.13317,0.99923,0.25,0.31635,0.25576,1.38648,2.82631,1.32542,0.000492205,0.000492205,0.000492205
4,527.435,1.14593,1.39245,1.14984,0.99873,0.21667,0.26082,0.23011,1.41114,2.96701,1.36498,0.000646662,0.000646662,0.000646662
5,650.042,1.10189,1.22798,1.11784,0.82677,0.31481,0.75487,0.45921,1.28665,2.41471,1.34026,0.00079419,0.00079419,0.00079419
6,777.244,1.06696,1.15632,1.09854,0.75657,0.53201,0.79226,0.41608,1.41051,2.21233,1.33794,0.000934788,0.000934788,0.000934788
7,908.411,1.14484,1.13391,1.11343,0.81963,0.50232,0.83838,0.49484,1.30945,2.23339,1.34738,0.00106846,0.00106846,0.00106846
8,1022.92,1.11535,1.13502,1.12518,0.76307,0.40602,0.82361,0.42304,1.44944,2.37002,1.37419,0.00107675,0.00107675,0.00107675
9,1148.18,1.08792,1.0941,1.15119,0.85865,0.78456,0.88402,0.53895,1.31919,1.64104,1.33856,0.001052,0.001052,0.001052
10,1276.57,1.12267,1.14614,1.11415,0.88507,0.8513,0.9725,0.55526,1.37646,1.75521,1.3969,0.00102725,0.00102725,0.00102725
11,1416.79,1.09555,1.02522,1.11153,0.82825,0.8411,0.9408,0.55373,1.30671,1.51923,1.33273,0.0010025,0.0010025,0.0010025
12,1533.73,1.05791,1.03784,1.11082,0.72934,0.82887,0.9357,0.54563,1.2728,1.35255,1.3257,0.00097775,0.00097775,0.00097775
13,1647.94,1.04054,0.97273,1.07929,0.8189,0.92308,0.95879,0.56942,1.31717,1.45391,1.38527,0.000953,0.000953,0.000953
14,1758.8,1.014,0.93623,1.08012,0.83888,0.94231,0.9655,0.53992,1.34263,1.21995,1.35935,0.00092825,0.00092825,0.00092825
15,1866.89,1.01962,0.93191,1.06809,0.8298,0.97291,0.95334,0.59842,1.21197,1.10236,1.30492,0.0009035,0.0009035,0.0009035
16,1974.11,1.03165,0.89126,1.08171,0.94023,0.9401,0.97334,0.58768,1.2757,1.03078,1.39472,0.00087875,0.00087875,0.00087875
17,2083.7,0.96699,0.85383,1.05898,0.92949,0.90394,0.98434,0.60702,1.21438,1.0486,1.27274,0.000854,0.000854,0.000854
18,2196.33,0.99875,0.79026,1.05217,0.89953,0.96183,0.97739,0.58347,1.30567,1.06466,1.33728,0.00082925,0.00082925,0.00082925
19,2308.21,1.01503,0.81265,1.07172,0.84648,0.98281,0.97407,0.57676,1.30234,1.05378,1.29615,0.0008045,0.0008045,0.0008045
20,2417.71,0.94925,0.80356,1.05292,0.80338,0.91124,0.91331,0.5539,1.3295,1.11404,1.36861,0.00077975,0.00077975,0.00077975
21,2528.2,0.97329,0.77828,1.05319,0.74826,0.91369,0.90622,0.50155,1.38654,1.27374,1.41339,0.000755,0.000755,0.000755
22,2638.09,0.94211,0.80464,1.076,0.83879,0.88834,0.95429,0.59765,1.16631,0.97082,1.23473,0.00073025,0.00073025,0.00073025
23,2752.65,0.96757,0.77285,1.06105,0.85248,0.94559,0.97308,0.60336,1.14678,0.96899,1.20258,0.0007055,0.0007055,0.0007055
24,2865.14,0.92383,0.75061,1.03178,0.86299,0.94903,0.92874,0.58472,1.19596,0.99569,1.2241,0.00068075,0.00068075,0.00068075
25,2977.61,0.93919,0.75483,1.04962,0.801,0.92308,0.88074,0.56838,1.22323,1.03701,1.26935,0.000656,0.000656,0.000656
26,3089.48,0.96303,0.7525,1.07011,0.79297,0.87358,0.86762,0.52226,1.23016,1.07282,1.27574,0.00063125,0.00063125,0.00063125
27,3199.25,0.94736,0.73611,1.05721,0.85894,0.91975,0.9213,0.54588,1.23819,0.93061,1.29515,0.0006065,0.0006065,0.0006065
28,3315.31,0.92669,0.71553,1.04827,0.90287,0.9101,0.97809,0.57788,1.25095,0.96765,1.33751,0.00058175,0.00058175,0.00058175
29,3430.8,0.89588,0.68889,1.02899,0.77365,0.96785,0.95013,0.57667,1.21485,0.95239,1.3025,0.000557,0.000557,0.000557
30,3544.06,0.9255,0.71854,1.04332,0.89537,0.9832,0.9757,0.58285,1.24453,0.87845,1.35241,0.00053225,0.00053225,0.00053225
31,3653.77,0.90563,0.66913,1.0322,0.89185,0.9224,0.9403,0.55536,1.28511,0.88443,1.32382,0.0005075,0.0005075,0.0005075
32,3764.98,0.88717,0.65997,1.01698,0.86471,1,0.96943,0.56384,1.2388,0.88238,1.40467,0.00048275,0.00048275,0.00048275
33,3875.13,0.90977,0.64596,1.01637,0.8848,0.99067,0.97108,0.56918,1.23896,0.85809,1.32865,0.000458,0.000458,0.000458
34,3987.44,0.88864,0.65249,1.01788,0.81539,0.97555,0.93611,0.57149,1.26989,0.85783,1.32302,0.00043325,0.00043325,0.00043325
35,4097.96,0.82745,0.66795,1.00187,0.85319,0.94879,0.93345,0.57109,1.22529,0.87373,1.2966,0.0004085,0.0004085,0.0004085
36,4209.62,0.86869,0.6603,1.01073,0.87154,0.96154,0.94426,0.5865,1.26438,0.83332,1.30439,0.00038375,0.00038375,0.00038375
37,4320.89,0.84276,0.63478,1.01834,0.86018,0.95147,0.94767,0.58337,1.24848,0.80671,1.26604,0.000359,0.000359,0.000359
38,4434.91,0.84529,0.63,1.0059,0.86919,0.96154,0.95352,0.59382,1.23449,0.75543,1.28119,0.00033425,0.00033425,0.00033425
39,4547.61,0.83865,0.61893,1.01507,0.83247,0.96569,0.95203,0.58573,1.21305,0.76178,1.28627,0.0003095,0.0003095,0.0003095
40,4659.74,0.8266,0.60911,0.99517,0.85976,0.98077,0.94365,0.58335,1.23006,0.79546,1.29319,0.00028475,0.00028475,0.00028475
41,4774.24,0.91945,0.68524,1.04331,0.88827,0.94231,0.97201,0.57346,1.28845,0.80674,1.33445,0.00026,0.00026,0.00026
42,4886.32,0.90623,0.68324,1.01729,0.88744,0.96092,0.97427,0.594,1.25634,0.83205,1.31337,0.00023525,0.00023525,0.00023525
43,4997.61,0.89258,0.67273,1.02117,0.86726,0.97666,0.96436,0.58181,1.23355,0.79907,1.30454,0.0002105,0.0002105,0.0002105
44,5108.61,0.84732,0.63488,1.02787,0.8682,0.99435,0.95617,0.59896,1.17839,0.74562,1.22886,0.00018575,0.00018575,0.00018575
45,5218.25,0.86708,0.63722,1.02261,0.86775,0.9533,0.93945,0.60767,1.1502,0.74275,1.21871,0.000161,0.000161,0.000161
46,5327.8,0.81342,0.63747,0.99524,0.85727,0.9651,0.95199,0.59868,1.19263,0.74505,1.26216,0.00013625,0.00013625,0.00013625
47,5439.87,0.83344,0.63647,1.01262,0.8588,0.97765,0.95329,0.59686,1.20657,0.73094,1.27149,0.0001115,0.0001115,0.0001115
48,5552.8,0.81898,0.606,1.01401,0.85341,0.98077,0.94715,0.58839,1.22576,0.73686,1.26895,8.675e-05,8.675e-05,8.675e-05
49,5673.3,0.84449,0.60229,1.00266,0.88797,0.965,0.95091,0.58939,1.23996,0.73815,1.27524,6.2e-05,6.2e-05,6.2e-05
50,5792.58,0.81595,0.61693,1.00621,0.8944,0.98077,0.94725,0.5941,1.24433,0.73454,1.27643,3.725e-05,3.725e-05,3.725e-05
